proj,dag_id,band,old_schedule,new_schedule,執行時間說明,config_path
proj_city_dashboard,tourist_attractions,light,@monthly,"0 13 7,28 * *",每月 7號、28號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/tourist_attractions/job_config.json
proj_city_dashboard,D030101-1,heavy,0 0 1 * *,"0 14 1,22 * *",每月 1號、22號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D030101_1/job_config.json
proj_city_dashboard,D100102_4,heavy,0 0 1 * *,"0 14 2,23 * *",每月 2號、23號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100102_4/job_config.json
proj_city_dashboard,R0033,heavy,30 18 2 * *,"0 14 3,24 * *",每月 3號、24號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0033/job_config.json
proj_city_dashboard,R0075,heavy,"0 1 20 1,4,7,10 *","0 14 4,25 * *",每月 4號、25號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0075/job_config.json
proj_new_taipei_city_dashboard,general_hotel_registry,heavy,@monthly,"0 14 5,26 * *",每月 5號、26號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/general_hotel_registry/job_config.json
proj_city_dashboard,D090100_1,light,"0 5 21 5,11 *","0 14 6,27 * *",每月 6號、27號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D090100_1/job_config.json
proj_new_taipei_city_dashboard,accessible_facilities,light,@monthly,"0 14 7,28 * *",每月 7號、28號 Taipei 22:00 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/accessible_facilities/job_config.json
proj_city_dashboard,D030102-2,heavy,0 0 1 * *,"0 15 1,22 * *",每月 1號、22號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D030102_2/job_config.json
proj_city_dashboard,D100102_6,heavy,0 0 1 * *,"0 15 2,23 * *",每月 2號、23號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100102_6/job_config.json
proj_city_dashboard,R0033-2,heavy,0 19 15 * *,"0 15 3,24 * *",每月 3號、24號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0033_2/job_config.json
proj_city_dashboard,R0081,heavy,0 4 21 * *,"0 15 4,25 * *",每月 4號、25號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0081/job_config.json
proj_new_taipei_city_dashboard,merge_crime_type_by_dist,heavy,@monthly,"0 15 5,26 * *",每月 5號、26號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/merge_crime_type_by_dist/job_config.json
proj_city_dashboard,D090103_1,light,"40 6 21 5,11 *","0 15 6,27 * *",每月 6號、27號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D090103_1/job_config.json
proj_new_taipei_city_dashboard,employment_age_structure,light,0 3 25 12 *,"0 15 7,28 * *",每月 7號、28號 Taipei 23:00 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/employment_age_structure/job_config.json
proj_city_dashboard,D040401,heavy,0 0 1 * *,"0 16 1,22 * *",每月 1號、22號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D040401/job_config.json
proj_city_dashboard,D100102_8,heavy,0 0 1 * *,"0 16 2,23 * *",每月 2號、23號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100102_8/job_config.json
proj_city_dashboard,R0037_2,heavy,10 3 22 12 *,"0 16 3,24 * *",每月 3號、24號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0037_2/job_config.json
proj_city_dashboard,R0083,heavy,"0 6 25 3,9 *","0 16 4,25 * *",每月 4號、25號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0083/job_config.json
proj_new_taipei_city_dashboard,urbn_air_raid_shelter,heavy,@monthly,"0 16 5,26 * *",每月 5號、26號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/urbn_air_raid_shelter/job_config.json
proj_city_dashboard,D100104_2,light,"0 0 1 3,9 *","0 16 6,27 * *",每月 6號、27號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100104_2/job_config.json
proj_new_taipei_city_dashboard,population_age_distribution_monthly,light,0 4 14 * *,"0 16 7,28 * *",每月 7號、28號 Taipei 00:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/population_age_distribution_monthly/job_config.json
proj_city_dashboard,D050303_5,heavy,0 0 1 * *,"0 17 1,22 * *",每月 1號、22號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_5/job_config.json
proj_city_dashboard,D100105,heavy,"0 0 1 3,9 *","0 17 2,23 * *",每月 2號、23號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100105/job_config.json
proj_city_dashboard,R0042,heavy,0 3 1 4 *,"0 17 3,24 * *",每月 3號、24號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0042/job_config.json
proj_city_dashboard,R0086,heavy,0 0 1 * *,"0 17 4,25 * *",每月 4號、25號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0086/job_config.json
proj_city_dashboard,D010501,light,0 19 16 * *,"0 17 5,26 * *",每月 5號、26號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D010501/job_config.json
proj_city_dashboard,accessible_facilities,light,@monthly,"0 17 6,27 * *",每月 6號、27號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/accessible_facilities/job_config.json
proj_new_taipei_city_dashboard,yearly_death_cause_etl,light,@yearly,"0 17 7,28 * *",每月 7號、28號 Taipei 01:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/yearly_death_cause_etl/job_config.json
proj_city_dashboard,D050303_7,heavy,0 0 1 * *,"0 18 1,22 * *",每月 1號、22號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_7/job_config.json
proj_city_dashboard,D100106_2,heavy,0 0 1 * *,"0 18 2,23 * *",每月 2號、23號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100106_2/job_config.json
proj_city_dashboard,R0056,heavy,0 3 5 * *,"0 18 3,24 * *",每月 3號、24號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0056/job_config.json
proj_city_dashboard,cooling_point,heavy,@monthly,"0 18 4,25 * *",每月 4號、25號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/cooling_point/job_config.json
proj_city_dashboard,D050302_1,light,"0 2 1 6,12 *","0 18 5,26 * *",每月 5號、26號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050302_1/job_config.json
proj_city_dashboard,dependency_ratio_and_aging_index,light,0 3 25 12 *,"0 18 6,27 * *",每月 6號、27號 Taipei 02:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/dependency_ratio_and_aging_index/job_config.json
proj_city_dashboard,D050303_9,heavy,0 0 1 * *,"0 19 1,22 * *",每月 1號、22號 Taipei 03:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_9/job_config.json
proj_city_dashboard,R0018,heavy,@monthly,"0 19 2,23 * *",每月 2號、23號 Taipei 03:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0018/job_config.json
proj_city_dashboard,R0058,heavy,0 5 25 * *,"0 19 3,24 * *",每月 3號、24號 Taipei 03:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0058/job_config.json
proj_city_dashboard,general_hotel_registry,heavy,@monthly,"0 19 4,25 * *",每月 4號、25號 Taipei 03:00(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/general_hotel_registry/job_config.json
