hotel_name,min_price,biz_area,city
台北五號商旅,12000.0,承德路中古汽車商圈,Taipei
謙匯普樂室行旅,580.0,大直商圈,Taipei
木文陶喜時尚旅館,6800.0,大直商圈,Taipei
吉泰旅店,6000.0,天母商圈,Taipei
米窩飯店-大安,2000.0,士林觀光夜市商圈,Taipei
台北宿之酒店．臻品之選,30000.0,承德路中古汽車商圈,Taipei
美寓旅店,4000.0,士林捷運站周邊,Taipei
福爾摩莎北驛旅館,2000.0,承德路中古汽車商圈,Taipei
果芒驛站旅店,3000.0,承德路中古汽車商圈,Taipei
台北士林萬麗酒店,6000.0,天母商圈,Taipei
天成文旅 華山町,6000.0,士林觀光夜市商圈,Taipei
城鄉旅坊台北,3880.0,士林捷運站周邊,Taipei
宜家居商旅,4900.0,新北投溫泉商圈,Taipei
陽明山美國渡假村,2880.0,行義路溫泉美食商圈,Taipei
五月家青旅 北車館,600.0,承德路中古汽車商圈,Taipei
懷特豪斯青年旅舍,7500.0,天母商圈,Taipei
